id,purchase_date,customer_id,fuel,vehicle_segment,premium,bodily_injury_liability,personal_injury_protection,property_damage_liability,collision,comprehensive,customer_gender,customer_income_group,cusromer_region,customer_marital_status
12349,1/1/18,404,CNG,A,1110,1,1,1,1,1,Male,$25-$70K,North,1
12353,1/1/18,408,CNG,A,2175,0,0,1,0,1,Male,$25-$70K,North,1
12418,1/1/18,420,CNG,A,1598,0,0,1,0,0,Male,$25-$70K,North,1
12427,1/1/18,420,CNG,A,2442,1,1,0,0,0,Male,$25-$70K,North,0
12366,1/2/18,420,CNG,A,661,0,1,1,0,0,Male,$25-$70K,North,0
12367,1/3/18,420,CNG,A,685,1,1,0,1,0,Male,$25-$70K,North,0
12383,1/3/18,420,CNG,A,1197,0,1,0,1,0,Male,$25-$70K,North,1
12406,1/3/18,420,CNG,A,1906,0,0,1,1,1,Male,$25-$70K,North,0
12430,1/3/18,420,CNG,A,2039,1,0,1,1,0,Male,$25-$70K,North,0
12346,1/4/18,401,CNG,A,1272,1,0,0,0,1,Male,$25-$70K,South,1
840,1/4/18,420,CNG,A,2089,0,1,0,1,0,Male,$25-$70K,North,0
12422,1/4/18,420,CNG,A,1174,1,0,1,1,0,Male,$25-$70K,North,0
12440,1/4/18,420,CNG,A,1915,1,1,1,0,0,Male,$25-$70K,North,0
12372,1/5/18,420,CNG,A,1921,1,1,1,0,1,Male,$25-$70K,North,1
12393,1/5/18,420,CNG,A,1025,1,0,0,0,1,Male,$25-$70K,North,1
12417,1/5/18,420,CNG,A,1837,1,1,1,0,0,Male,$25-$70K,North,0
12443,1/5/18,420,CNG,A,637,0,0,1,1,0,Male,$25-$70K,North,0
12360,1/6/18,415,CNG,A,2102,1,0,0,1,0,Male,$25-$70K,North,0
12391,1/6/18,420,CNG,A,1979,1,1,1,1,1,Male,$25-$70K,North,0
12438,1/6/18,420,CNG,A,1663,1,1,0,1,1,Male,$25-$70K,North,1
12347,1/7/18,402,CNG,A,2150,0,1,1,1,0,Male,>$70K,East,0
12348,1/7/18,403,CNG,A,2123,1,0,1,1,1,Male,$25-$70K,West,1
12364,1/8/18,419,CNG,A,2397,1,1,1,0,0,Male,$25-$70K,North,0
12368,1/8/18,420,CNG,A,1006,1,1,1,1,1,Male,$25-$70K,North,1
12382,1/8/18,420,CNG,A,1960,0,1,1,1,1,Male,$25-$70K,North,0
12441,1/8/18,420,CNG,A,1888,0,0,0,1,1,Male,$25-$70K,North,1
12385,1/9/18,420,CNG,A,568,1,1,1,0,0,Male,$25-$70K,North,0
12403,1/10/18,420,CNG,A,1692,1,0,1,1,0,Male,$25-$70K,North,0
12415,1/10/18,420,CNG,A,1065,0,1,0,0,1,Male,$25-$70K,North,1
12435,1/10/18,420,CNG,A,1212,0,0,1,0,0,Male,$25-$70K,North,1
12399,1/11/18,420,CNG,A,2132,0,0,0,1,0,Male,$25-$70K,North,0
12404,1/11/18,420,CNG,A,1262,0,1,1,0,1,Male,$25-$70K,North,1
12433,1/11/18,420,CNG,A,1144,0,1,0,0,0,Male,$25-$70K,North,0
12386,1/12/18,420,CNG,A,2149,1,0,1,1,1,Male,$25-$70K,North,1
12432,1/12/18,420,CNG,A,823,0,0,1,1,0,Male,$25-$70K,North,0
12392,1/13/18,420,CNG,A,2327,0,0,1,1,1,Male,$25-$70K,North,0
12398,1/13/18,420,CNG,A,2143,1,0,1,1,1,Male,$25-$70K,North,0
12400,1/13/18,420,CNG,A,1459,1,0,0,0,0,Male,$25-$70K,North,1
12416,1/13/18,420,CNG,A,2393,1,1,1,1,0,Male,$25-$70K,North,0
12436,1/13/18,420,CNG,A,1829,0,1,1,0,0,Male,$25-$70K,North,1
12388,1/14/18,420,CNG,A,1246,1,0,0,0,0,Male,$25-$70K,North,0
12377,1/15/18,420,CNG,A,1780,0,0,0,1,1,Male,$25-$70K,North,0
12397,1/15/18,420,CNG,A,1929,0,1,0,0,1,Male,$25-$70K,North,1
12409,1/15/18,420,CNG,A,2362,1,1,0,1,0,Male,$25-$70K,North,0
12437,1/15/18,420,CNG,A,1548,0,0,0,1,0,Male,$25-$70K,North,0
12345,1/16/18,400,CNG,A,958,0,0,0,1,1,Male,0- $25K,North,0
12369,1/16/18,420,CNG,A,1160,1,0,0,1,1,Male,$25-$70K,North,0
12395,1/16/18,420,CNG,A,2072,0,0,1,0,0,Male,$25-$70K,North,0
12414,1/16/18,420,CNG,A,2411,1,1,0,0,1,Male,$25-$70K,North,0
12356,1/17/18,411,CNG,A,1552,1,1,0,0,1,Male,$25-$70K,North,0
12401,1/17/18,420,CNG,A,1831,1,1,0,0,0,Male,$25-$70K,North,0
12410,1/17/18,420,CNG,A,1612,1,1,0,1,0,Male,$25-$70K,North,1
12358,1/18/18,413,CNG,A,1355,1,0,0,1,0,Male,$25-$70K,North,0
12396,1/18/18,420,CNG,A,2103,0,0,0,1,0,Male,$25-$70K,North,0
12421,1/18/18,420,CNG,A,1617,1,1,1,0,1,Male,$25-$70K,North,1
12351,1/19/18,406,CNG,A,1030,1,1,1,1,0,Male,$25-$70K,North,0
12359,1/19/18,414,CNG,A,2356,0,0,0,0,1,Male,$25-$70K,North,1
12411,1/19/18,420,CNG,A,711,0,0,0,1,1,Male,$25-$70K,North,1
12442,1/19/18,420,CNG,A,694,1,1,1,0,0,Male,$25-$70K,North,0
12354,1/20/18,409,CNG,A,1725,0,0,0,1,0,Male,$25-$70K,North,0
12380,1/20/18,420,CNG,A,1827,0,0,1,1,0,Male,$25-$70K,North,1
12408,1/20/18,420,CNG,A,1597,1,0,0,1,0,Male,$25-$70K,North,1
12413,1/20/18,420,CNG,A,1301,0,1,0,0,1,Male,$25-$70K,North,0
12362,1/21/18,417,CNG,A,2326,0,1,0,1,1,Male,$25-$70K,North,0
12373,1/21/18,420,CNG,A,2200,0,1,0,1,1,Male,$25-$70K,North,0
12384,1/21/18,420,CNG,A,614,0,1,0,0,1,Male,$25-$70K,North,0
12390,1/21/18,420,CNG,A,642,0,0,1,0,1,Male,$25-$70K,North,1
12350,1/22/18,405,CNG,A,1571,0,0,1,0,0,Male,$25-$70K,North,0
12375,1/22/18,420,CNG,A,1047,0,1,0,1,0,Male,$25-$70K,North,1
12352,1/23/18,407,CNG,A,1732,1,1,1,0,0,Male,$25-$70K,North,0
12365,1/23/18,420,CNG,A,1493,1,0,0,0,0,Male,$25-$70K,North,0
12394,1/23/18,420,CNG,A,529,0,0,0,0,1,Male,$25-$70K,North,1
12405,1/23/18,420,CNG,A,2451,0,1,0,0,0,Male,$25-$70K,North,0
12428,1/23/18,420,CNG,A,1763,0,1,1,0,0,Male,$25-$70K,North,1
12434,1/23/18,420,CNG,A,1051,0,0,1,0,0,Male,$25-$70K,North,1
12439,1/23/18,420,CNG,A,1313,0,0,0,1,1,Male,$25-$70K,North,0
420,1/24/18,418,CNG,A,584,1,1,1,1,0,Male,$25-$70K,North,0
12381,1/24/18,420,CNG,A,2003,1,1,0,1,0,Male,$25-$70K,North,1
12389,1/24/18,420,CNG,A,1295,1,1,0,0,0,Male,$25-$70K,North,1
12407,1/24/18,420,CNG,A,2095,1,0,1,1,0,Male,$25-$70K,North,1
12370,1/25/18,420,CNG,A,1602,0,0,0,1,1,Male,$25-$70K,North,1
12371,1/25/18,420,CNG,A,2355,0,1,1,1,1,Male,$25-$70K,North,0
12420,1/25/18,420,CNG,A,591,0,0,1,0,0,Male,$25-$70K,North,0
12426,1/25/18,420,CNG,A,1994,0,0,0,0,1,Male,$25-$70K,North,0
12378,1/26/18,420,CNG,A,1035,1,0,1,0,0,Male,$25-$70K,North,0
12361,1/27/18,416,CNG,A,1258,1,1,1,1,1,Male,$25-$70K,North,1
12374,1/27/18,420,CNG,A,2357,0,1,1,1,1,Male,$25-$70K,North,1
12387,1/27/18,420,CNG,A,1797,1,0,1,0,1,Male,$25-$70K,North,1
12425,1/27/18,420,CNG,A,2121,1,1,0,0,1,Male,$25-$70K,North,0
12431,1/27/18,420,CNG,A,898,1,0,0,0,0,Male,$25-$70K,North,1
12355,1/28/18,410,CNG,A,1805,0,1,0,1,0,Male,$25-$70K,North,1
12423,1/28/18,420,CNG,A,2241,1,1,1,0,1,Male,$25-$70K,North,0
12429,1/28/18,420,CNG,A,1494,0,0,0,1,1,Male,$25-$70K,North,0
12357,1/29/18,412,CNG,A,1888,0,1,1,1,1,Male,$25-$70K,North,0
12379,1/29/18,420,CNG,A,526,1,1,1,0,1,Male,$25-$70K,North,0
12412,1/29/18,420,CNG,A,1771,1,0,1,0,1,Male,$25-$70K,North,1
12402,1/30/18,420,CNG,A,1171,1,1,1,0,0,Male,$25-$70K,North,1
12419,1/30/18,420,CNG,A,1072,1,0,1,0,1,Male,$25-$70K,North,0
12424,1/31/18,420,CNG,A,2248,1,1,0,1,1,Male,$25-$70K,North,0
12446,2/1/18,420,CNG,A,934,1,0,1,0,1,Male,$25-$70K,North,1
12457,2/1/18,420,CNG,A,1662,0,0,0,1,1,Male,$25-$70K,North,1
12499,2/1/18,420,CNG,A,1477,1,0,1,0,1,Male,$25-$70K,North,0
12462,2/2/18,420,CNG,A,1083,0,0,1,1,0,Male,$25-$70K,North,0
12506,2/2/18,420,CNG,A,1574,0,1,1,0,0,Male,$25-$70K,North,1
12507,2/2/18,420,CNG,A,1764,1,0,0,1,1,Male,$25-$70K,North,1
12531,2/2/18,420,CNG,A,727,1,1,1,0,1,Male,$25-$70K,North,0
12533,2/2/18,420,CNG,A,2390,0,0,1,1,1,Male,$25-$70K,North,0
12449,2/3/18,420,CNG,A,1328,0,1,1,0,0,Male,$25-$70K,North,0
12452,2/3/18,420,CNG,A,2256,1,0,0,1,0,Male,$25-$70K,North,1
12458,2/3/18,420,CNG,A,1870,0,0,0,0,0,Male,$25-$70K,North,1
12469,2/3/18,420,CNG,A,2310,0,0,1,1,0,Male,$25-$70K,North,0
12477,2/4/18,420,CNG,A,749,1,0,1,0,1,Male,$25-$70K,North,0
12485,2/4/18,420,CNG,A,2021,0,0,1,1,0,Male,$25-$70K,North,1
12454,2/5/18,420,CNG,A,2067,1,1,0,1,0,Male,$25-$70K,North,0
12459,2/5/18,420,CNG,A,626,1,1,1,1,0,Male,$25-$70K,North,1
12464,2/5/18,420,CNG,A,708,1,1,1,0,1,Male,$25-$70K,North,0
12491,2/5/18,420,CNG,A,1914,0,0,1,1,0,Male,$25-$70K,North,1
12514,2/5/18,420,CNG,A,1475,1,1,1,1,0,Male,$25-$70K,North,1
12463,2/6/18,420,CNG,A,2253,0,1,0,1,0,Male,$25-$70K,North,0
12503,2/6/18,420,CNG,A,2148,0,0,1,0,1,Male,$25-$70K,North,1
12508,2/6/18,420,CNG,A,2484,1,1,1,1,0,Male,$25-$70K,North,0
12509,2/6/18,420,CNG,A,640,1,0,1,1,0,Male,$25-$70K,North,0
12528,2/6/18,420,CNG,A,545,1,1,0,0,0,Male,$25-$70K,North,0
12445,2/8/18,420,CNG,A,1673,0,1,1,1,1,Male,$25-$70K,North,0
12479,2/8/18,420,CNG,A,1231,0,1,0,1,0,Male,$25-$70K,North,1
12513,2/8/18,420,CNG,A,519,0,0,0,0,1,Male,$25-$70K,North,1
12518,2/8/18,420,CNG,A,641,1,0,1,1,0,Male,$25-$70K,North,1
12444,2/10/18,420,CNG,A,1959,1,1,0,0,1,Male,$25-$70K,North,1
12488,2/10/18,420,CNG,A,1065,0,0,1,0,1,Male,$25-$70K,North,0
12492,2/10/18,420,CNG,A,1149,0,0,0,0,0,Male,$25-$70K,North,0
12521,2/10/18,420,CNG,A,1100,1,0,0,1,1,Male,$25-$70K,North,1
12532,2/10/18,420,CNG,A,685,0,1,0,1,1,Male,$25-$70K,North,1
12455,2/11/18,420,CNG,A,1477,1,0,0,1,0,Male,$25-$70K,North,1
12460,2/11/18,420,CNG,A,1658,1,0,1,1,0,Male,$25-$70K,North,0
12472,2/11/18,420,CNG,A,1628,1,1,0,0,1,Male,$25-$70K,North,0
12541,2/11/18,420,CNG,A,2086,0,0,0,1,1,Male,$25-$70K,North,1
12471,2/12/18,420,CNG,A,2218,0,0,1,0,1,Male,$25-$70K,North,0
12495,2/12/18,420,CNG,A,743,1,0,1,0,0,Male,$25-$70K,North,1
12510,2/12/18,420,CNG,A,663,0,0,1,1,0,Male,$25-$70K,North,0
12530,2/12/18,420,CNG,A,615,1,1,1,0,0,Male,$25-$70K,North,0
12450,2/13/18,420,CNG,A,2455,1,1,1,1,1,Male,$25-$70K,North,0
12527,2/13/18,420,CNG,A,2310,0,0,1,1,0,Male,$25-$70K,North,1
12465,2/14/18,420,CNG,A,2254,1,1,0,1,0,Male,$25-$70K,North,0
12474,2/14/18,420,CNG,A,618,0,1,0,1,1,Male,$25-$70K,North,0
12478,2/14/18,420,CNG,A,2420,0,0,1,0,1,Male,$25-$70K,North,0
12481,2/14/18,420,CNG,A,2376,0,1,1,0,1,Male,$25-$70K,North,1
12489,2/14/18,420,CNG,A,2227,0,1,0,0,0,Male,$25-$70K,North,1
12516,2/14/18,420,CNG,A,1179,0,1,0,0,0,Male,$25-$70K,North,1
12523,2/14/18,420,CNG,A,2387,1,0,1,1,1,Male,$25-$70K,North,1
12466,2/15/18,420,CNG,A,1092,0,1,0,0,1,Male,$25-$70K,North,0
12468,2/15/18,420,CNG,A,1041,0,0,1,1,1,Male,$25-$70K,North,0
12502,2/15/18,420,CNG,A,2205,0,1,1,1,0,Male,$25-$70K,North,0
12542,2/15/18,420,CNG,A,2491,1,0,0,1,0,Male,$25-$70K,North,1
12461,2/16/18,420,CNG,A,1168,0,1,0,1,1,Male,$25-$70K,North,0
12473,2/16/18,420,CNG,A,850,1,0,1,1,0,Male,$25-$70K,North,1
12476,2/16/18,420,CNG,A,1213,1,0,0,1,1,Male,$25-$70K,North,1
12490,2/16/18,420,CNG,A,1721,1,0,0,0,0,Male,$25-$70K,North,1
12537,2/16/18,420,CNG,A,1538,1,0,1,1,1,Male,$25-$70K,North,1
12540,2/16/18,420,CNG,A,997,1,1,1,0,0,Male,$25-$70K,North,1
12500,2/17/18,420,CNG,A,1464,1,1,0,1,1,Male,$25-$70K,North,0
12512,2/17/18,420,CNG,A,1908,0,1,0,1,1,Male,$25-$70K,North,0
12517,2/17/18,420,CNG,A,898,0,1,1,0,1,Male,$25-$70K,North,1
12538,2/17/18,420,CNG,A,600,0,1,1,0,0,Male,$25-$70K,North,0
12456,2/18/18,420,CNG,A,865,0,0,0,0,1,Male,$25-$70K,North,1
12496,2/18/18,420,CNG,A,1044,1,0,1,0,1,Male,$25-$70K,North,0
12484,2/19/18,420,CNG,A,901,1,1,1,0,0,Male,$25-$70K,North,0
12487,2/19/18,420,CNG,A,2338,0,0,1,1,0,Male,$25-$70K,North,1
12522,2/19/18,420,CNG,A,2316,0,1,1,1,1,Male,$25-$70K,North,0
12536,2/19/18,420,CNG,A,1030,0,1,1,0,0,Male,$25-$70K,North,1
12448,2/20/18,420,CNG,A,2246,1,0,0,1,0,Male,$25-$70K,North,0
12493,2/20/18,420,CNG,A,2033,0,0,1,1,1,Male,$25-$70K,North,0
12501,2/20/18,420,CNG,A,2487,1,1,0,0,1,Male,$25-$70K,North,0
12483,2/21/18,420,CNG,A,1533,0,0,0,0,1,Male,$25-$70K,North,0
12524,2/21/18,420,CNG,A,2193,0,1,0,1,0,Male,$25-$70K,North,1
12529,2/21/18,420,CNG,A,1924,1,0,0,1,1,Male,$25-$70K,North,1
12539,2/21/18,420,CNG,A,540,1,1,0,0,1,Male,$25-$70K,North,1
12475,2/22/18,420,CNG,A,2128,0,0,0,1,0,Male,$25-$70K,North,1
12486,2/22/18,420,CNG,A,1570,0,0,0,0,1,Male,$25-$70K,North,1
12494,2/22/18,420,CNG,A,2025,0,0,0,1,0,Male,$25-$70K,North,1
12498,2/22/18,420,CNG,A,1569,1,1,1,0,0,Male,$25-$70K,North,0
12511,2/22/18,420,CNG,A,1504,0,0,0,0,0,Male,$25-$70K,North,1
12525,2/22/18,420,CNG,A,2484,1,0,0,0,1,Male,$25-$70K,North,0
12543,2/22/18,420,CNG,A,651,1,1,1,0,1,Male,$25-$70K,North,1
12447,2/23/18,420,CNG,A,2391,1,0,0,1,0,Male,$25-$70K,North,0
12544,2/23/18,420,CNG,A,1359,1,1,1,1,0,Male,$25-$70K,North,1
12519,2/24/18,420,CNG,A,1002,0,0,1,0,0,Male,$25-$70K,North,0
12526,2/24/18,420,CNG,A,1835,0,0,1,1,1,Male,$25-$70K,North,1
12534,2/24/18,420,CNG,A,709,1,0,1,0,1,Male,$25-$70K,North,0
12451,2/25/18,420,CNG,A,1611,0,1,0,1,0,Male,$25-$70K,North,0
12470,2/25/18,420,CNG,A,2339,1,1,1,1,0,Male,$25-$70K,North,1
12497,2/25/18,420,CNG,A,1404,1,0,1,0,0,Male,$25-$70K,North,0
12504,2/25/18,420,CNG,A,2006,1,1,0,1,0,Male,$25-$70K,North,1
12520,2/25/18,420,CNG,A,2253,1,0,1,1,1,Male,$25-$70K,North,0
12453,2/26/18,420,CNG,A,1284,0,0,0,0,0,Male,$25-$70K,North,1
12467,2/26/18,420,CNG,A,778,1,0,0,0,1,Male,$25-$70K,North,1
12480,2/27/18,420,CNG,A,510,0,1,0,0,1,Male,$25-$70K,North,1
12482,2/27/18,420,CNG,A,1746,1,1,0,1,0,Male,$25-$70K,North,0
12505,2/27/18,420,CNG,A,2168,1,1,0,0,1,Male,$25-$70K,North,1
12515,2/27/18,420,CNG,A,1663,1,0,1,1,0,Male,$25-$70K,North,0
12535,2/27/18,420,CNG,A,910,0,1,1,0,0,Male,$25-$70K,North,0
12564,3/1/18,420,CNG,A,1322,1,1,1,1,0,Male,$25-$70K,North,0
12625,3/1/18,420,CNG,A,751,0,1,1,1,1,Male,$25-$70K,North,1
12632,3/1/18,420,CNG,A,1965,0,1,0,0,0,Male,$25-$70K,North,0
12553,3/2/18,420,CNG,A,1214,1,0,0,1,1,Male,$25-$70K,North,1
12557,3/2/18,420,CNG,A,554,1,0,0,0,0,Male,$25-$70K,North,1
12644,3/2/18,420,CNG,A,1101,1,0,0,1,1,Male,$25-$70K,North,0
12555,3/3/18,420,CNG,A,525,1,1,0,0,0,Male,$25-$70K,North,0
12581,3/3/18,420,CNG,A,2490,1,1,1,0,1,Male,$25-$70K,North,1
12621,3/3/18,420,CNG,A,776,1,0,0,0,0,Male,$25-$70K,North,0
12638,3/3/18,420,CNG,A,1650,0,1,0,1,1,Male,$25-$70K,North,1
12593,3/4/18,420,CNG,A,519,0,1,1,0,0,Male,$25-$70K,North,0
12551,3/5/18,420,CNG,A,2448,0,0,1,1,0,Male,$25-$70K,North,1
12574,3/5/18,420,CNG,A,697,0,0,0,1,1,Male,$25-$70K,North,0
12643,3/6/18,420,CNG,A,1116,1,1,1,0,0,Male,$25-$70K,North,1
12548,3/7/18,420,CNG,A,935,0,1,0,1,0,Male,$25-$70K,North,1
12585,3/8/18,420,CNG,A,890,1,1,1,0,0,Male,$25-$70K,North,1
12591,3/8/18,420,CNG,A,878,1,1,1,1,0,Male,$25-$70K,North,1
12628,3/8/18,420,CNG,A,1359,0,0,1,0,1,Male,$25-$70K,North,0
12629,3/8/18,420,CNG,A,613,0,0,1,0,0,Male,$25-$70K,North,1
12583,3/9/18,420,CNG,A,1774,1,0,1,0,0,Male,$25-$70K,North,0
12586,3/9/18,420,CNG,A,1169,0,0,0,1,1,Male,$25-$70K,North,0
12554,3/10/18,420,CNG,A,836,1,1,0,1,0,Male,$25-$70K,North,1
12570,3/10/18,420,CNG,A,1634,1,0,1,1,1,Male,$25-$70K,North,0
12575,3/10/18,420,CNG,A,653,0,1,0,0,0,Male,$25-$70K,North,1
12576,3/10/18,420,CNG,A,1908,1,0,0,1,0,Male,$25-$70K,North,0
12582,3/10/18,420,CNG,A,1669,0,0,1,0,0,Male,$25-$70K,North,1
12633,3/10/18,420,CNG,A,1414,0,0,0,0,0,Male,$25-$70K,North,1
12572,3/11/18,420,CNG,A,774,1,1,1,0,0,Male,$25-$70K,North,0
12637,3/11/18,420,CNG,A,873,0,0,0,0,0,Male,$25-$70K,North,0
12642,3/11/18,420,CNG,A,948,0,0,1,0,0,Male,$25-$70K,North,1
12577,3/14/18,420,CNG,A,2445,0,0,1,0,1,Male,$25-$70K,North,1
12573,3/15/18,420,CNG,A,1049,1,0,1,1,0,Male,$25-$70K,North,0
12634,3/16/18,420,CNG,A,1015,0,0,1,0,0,Male,$25-$70K,North,0
12640,3/16/18,420,CNG,A,1328,0,0,1,1,1,Male,$25-$70K,North,1
12620,3/17/18,420,CNG,A,2373,1,1,0,1,0,Male,$25-$70K,North,1
12547,3/18/18,420,CNG,A,966,0,0,1,1,1,Male,$25-$70K,North,1
12550,3/18/18,420,CNG,A,1245,0,1,0,1,0,Male,$25-$70K,North,1
12561,3/18/18,420,CNG,A,745,1,0,1,0,1,Male,$25-$70K,North,0
12571,3/18/18,420,CNG,A,1241,1,1,1,0,1,Male,$25-$70K,North,1
12558,3/20/18,420,CNG,A,599,0,1,1,1,0,Male,$25-$70K,North,0
12587,3/20/18,420,CNG,A,1479,0,0,1,1,1,Male,$25-$70K,North,0
12641,3/20/18,420,CNG,A,2390,1,0,0,0,0,Male,$25-$70K,North,1
12578,3/21/18,420,CNG,A,613,1,0,1,0,1,Male,$25-$70K,North,0
12579,3/21/18,420,CNG,A,1560,1,0,1,1,1,Male,$25-$70K,North,1
12594,3/21/18,420,CNG,A,1215,1,1,0,0,0,Male,$25-$70K,North,0
12626,3/21/18,420,CNG,A,2499,1,1,0,0,0,Male,$25-$70K,North,0
12631,3/21/18,420,CNG,A,585,1,0,1,0,0,Male,$25-$70K,North,1
12545,3/22/18,420,CNG,A,1109,1,0,1,0,1,Male,$25-$70K,North,1
12563,3/22/18,420,CNG,A,646,1,0,0,1,0,Male,$25-$70K,North,0
12580,3/22/18,420,CNG,A,1651,0,1,0,0,1,Male,$25-$70K,North,1
12590,3/22/18,420,CNG,A,2047,1,1,1,0,0,Male,$25-$70K,North,1
12546,3/23/18,420,CNG,A,2347,1,1,1,1,0,Male,$25-$70K,North,1
12566,3/23/18,420,CNG,A,2114,0,1,0,0,0,Male,$25-$70K,North,1
12567,3/23/18,420,CNG,A,1674,0,0,1,1,1,Male,$25-$70K,North,1
12569,3/23/18,420,CNG,A,1679,1,0,1,0,0,Male,$25-$70K,North,0
12627,3/23/18,420,CNG,A,2292,1,0,0,0,0,Male,$25-$70K,North,0
12560,3/24/18,420,CNG,A,838,1,0,0,1,1,Male,$25-$70K,North,1
12636,3/24/18,420,CNG,A,1583,1,1,0,0,1,Male,$25-$70K,North,1
12639,3/24/18,420,CNG,A,2104,1,1,1,1,0,Male,$25-$70K,North,1
12588,3/25/18,420,CNG,A,1103,0,0,0,0,1,Male,$25-$70K,North,0
12589,3/25/18,420,CNG,A,1747,1,1,1,1,0,Male,$25-$70K,North,1
12592,3/25/18,420,CNG,A,2073,1,1,0,1,0,Male,$25-$70K,North,0
12595,3/25/18,420,CNG,A,1821,0,1,1,0,0,Male,$25-$70K,North,0
12624,3/26/18,420,CNG,A,1173,0,0,0,0,1,Male,$25-$70K,North,0
12630,3/26/18,420,CNG,A,694,1,1,1,1,0,Male,$25-$70K,North,1
12549,3/27/18,420,CNG,A,2191,0,1,0,0,0,Male,$25-$70K,North,1
12556,3/27/18,420,CNG,A,1640,0,1,0,0,0,Male,$25-$70K,North,0
12562,3/28/18,420,CNG,A,1349,1,0,1,1,0,Male,$25-$70K,North,1
12584,3/28/18,420,CNG,A,1556,1,0,1,1,0,Male,$25-$70K,North,0
12622,3/28/18,420,CNG,A,1729,1,1,0,0,0,Male,$25-$70K,North,0
12635,3/28/18,420,CNG,A,1074,0,0,1,0,0,Male,$25-$70K,North,0
12552,3/29/18,420,CNG,A,525,0,1,1,0,1,Male,$25-$70K,North,0
12559,3/30/18,420,CNG,A,1269,1,1,1,1,0,Male,$25-$70K,North,1
12565,3/30/18,420,CNG,A,1050,0,0,1,0,0,Male,$25-$70K,North,1
12568,3/30/18,420,CNG,A,690,1,1,1,1,0,Male,$25-$70K,North,0
12623,3/30/18,420,CNG,A,2437,0,1,1,1,1,Male,$25-$70K,North,1
12683,4/1/18,420,CNG,A,1429,0,1,0,1,1,Male,$25-$70K,North,0
12706,4/1/18,761,CNG,A,1300,0,1,0,0,1,Male,$25-$70K,North,0
12789,4/1/18,840,CNG,A,812,1,1,1,0,0,Male,$25-$70K,South,1
12834,4/1/18,840,CNG,A,1019,1,1,0,1,0,Male,>$70K,South,1
12696,4/2/18,420,CNG,A,2032,0,1,1,0,0,Male,$25-$70K,North,1
12741,4/2/18,796,CNG,A,1932,1,1,1,0,0,Male,$25-$70K,South,1
12758,4/2/18,813,CNG,A,1897,1,0,1,1,0,Male,$25-$70K,South,1
12760,4/2/18,815,CNG,A,1705,0,1,1,1,0,Male,$25-$70K,South,0
12762,4/2/18,817,CNG,A,2204,1,1,1,0,0,Male,$25-$70K,South,0
12763,4/2/18,818,CNG,A,2207,0,1,1,0,0,Male,$25-$70K,South,0
12774,4/2/18,829,CNG,A,2111,1,0,1,0,1,Male,$25-$70K,South,0
12694,4/3/18,420,CNG,A,2362,0,1,1,0,0,Male,$25-$70K,North,1
12703,4/3/18,758,CNG,A,2437,0,0,1,0,1,Male,$25-$70K,North,0
12737,4/3/18,792,CNG,A,2246,1,1,0,0,1,Male,$25-$70K,South,1
12806,4/3/18,840,CNG,A,1639,1,1,1,1,1,Male,$25-$70K,South,1
12842,4/3/18,840,CNG,A,2332,0,0,0,1,1,Male,>$70K,South,0
12646,4/4/18,420,CNG,A,1895,0,1,0,1,1,Male,$25-$70K,North,0
12708,4/4/18,763,CNG,A,1893,0,1,1,1,0,Male,$25-$70K,South,1
12713,4/4/18,768,CNG,A,1375,1,1,1,1,1,Male,$25-$70K,South,1
12775,4/4/18,830,CNG,A,1648,0,1,1,1,1,Male,$25-$70K,South,1
12833,4/4/18,840,CNG,A,732,0,1,1,1,0,Male,>$70K,South,1
12680,4/5/18,420,CNG,A,1798,1,0,1,0,1,Male,$25-$70K,North,1
12690,4/5/18,420,CNG,A,1328,0,0,0,0,1,Male,$25-$70K,North,1
12740,4/5/18,795,CNG,A,2069,0,0,1,0,1,Male,$25-$70K,South,1
12743,4/5/18,798,CNG,A,1378,0,0,0,1,1,Male,$25-$70K,South,0
12756,4/5/18,811,CNG,A,2428,1,0,0,0,0,Male,$25-$70K,South,0
12784,4/5/18,839,CNG,A,2479,1,1,0,1,1,Male,$25-$70K,South,1
12791,4/5/18,840,CNG,A,1488,1,0,1,0,0,Male,$25-$70K,South,0
